generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1779080714-EbfuCLW6Qt4RHYvRoHxa,2026-05-18 05:05:14.198,0.072708,,-0.02184,,0,64023,1263,1262,19328,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,15666,5866,Deep Agents,Hive
gen-1779080707-Wfl40zkZEy4bda8yMFZr,2026-05-18 05:05:07.889,0.066851,,-0.02184,,0,63636,54,53,19328,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6020,5418,Deep Agents,Hive
gen-1779080693-HN4jmclMalw7iTNoSAKx,2026-05-18 05:04:53.989,0.071502,,-0.021768,,0,63540,1125,1124,19264,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,13567,4530,Deep Agents,Hive
gen-1779080688-SsiEDcK9AukJLNWjLMfC,2026-05-18 05:04:48.142,0.065321,,-0.021696,,0,62495,34,33,19200,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5566,5247,Deep Agents,Hive
gen-1779080679-I9WBkABGNeCkaVucaCS8,2026-05-18 05:04:39.593,0.068106,,-0.021623,,0,62965,502,501,19136,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,7971,4789,Deep Agents,Hive
gen-1779080674-oIAuhVf8pvCJuroPZNIR,2026-05-18 05:04:34.370,0.065454,,-0.021479,,0,62438,33,32,19008,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4964,4684,Deep Agents,Hive
gen-1779080668-75555WH2KWsieLkKUe7B,2026-05-18 05:04:28.861,0.063096,,-0.021479,,0,60741,33,32,19008,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5227,4930,Deep Agents,Hive
gen-1779080663-6IbL7pq68XQcShgyyPZR,2026-05-18 05:04:23.381,0.061741,,-0.021406,,0,59629,60,59,18944,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4922,4386,Deep Agents,Hive
gen-1779080585-IanvhodFMC4ODnO44EkL,2026-05-18 05:03:05.609,0.090016,,-0.021334,,0,51401,9069,9068,18880,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,77327,12424,Deep Agents,Hive
gen-1779080581-U0a6aON2BMk9uzoMIPXZ,2026-05-18 05:03:01.466,0.049264,,-0.021262,,0,50580,50,49,18816,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,3850,3397,Deep Agents,Hive
gen-1779080572-OTW6at0EUXk5EBEfn1cE,2026-05-18 05:02:51.915,0.050587,,-0.021189,,0,50122,479,24,18752,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,8944,4759,Deep Agents,Hive
gen-1779080488-JJaIw5pgDR40oYsQNFsy,2026-05-18 05:01:28.659,0.075546,,-0.021117,,0,42500,8543,345,18688,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,82893,4454,Deep Agents,Hive
gen-1779080484-djk7Ep5nzzpr6HBHIBJa,2026-05-18 05:01:24.633,0.037261,,-0.021117,,0,41895,33,32,18688,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,3740,3415,Deep Agents,Hive
gen-1779080480-tTTst2rcF5KKNxdDO1c1,2026-05-18 05:01:20.092,0.036807,,-0.020972,,0,41464,33,32,18560,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4263,4263,Deep Agents,Hive
gen-1779080474-SX7nuBU6NtSzsalpsknq,2026-05-18 05:01:14.594,0.035003,,-0.020972,,0,40166,33,32,18560,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5212,5160,Deep Agents,Hive
gen-1779080469-9t58NWU8Hm8yUETT5qJQ,2026-05-18 05:01:09.385,0.034375,,-0.020828,,0,39490,71,38,18432,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,4869,3928,Deep Agents,Hive
gen-1779080463-EBIYIpug1DxsPoNRbXYt,2026-05-18 05:01:03.691,0.034276,,-0.020755,,0,39421,54,53,18368,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,5399,4848,Deep Agents,Hive
gen-1779080460-7MyixqaQb8UV5jmPoLjA,2026-05-18 05:00:59.777,0.035887,,-0.020755,,0,40681,22,21,18368,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,3467,3304,Deep Agents,Hive
gen-1779080389-kzxAvQjMvz2qBwZQWxBS,2026-05-18 04:59:49.470,0.055456,,-0.020611,,0,35653,6025,6024,18240,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,69881,4406,Deep Agents,Hive
gen-1779080383-3NDpzRfR3V3JJzxZwfVy,2026-05-18 04:59:43.082,0.031598,,-0.020611,,0,36513,331,198,18240,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,6079,3224,Deep Agents,Hive
gen-1779080379-aC6hyRgLMfVIQAGIhSFb,2026-05-18 04:59:39.496,0.030029,,-0.020466,,0,36230,31,30,18112,z-ai/glm-5.1-20260406,AtlasCloud,standard,false,true,,tool_calls,tool_calls,3358,3313,Deep Agents,Hive
